articleID,acronym,correct_expansion,wrong_expansion2,isOneMoreConfident
8170349,ADH,antidiuretic hormone,alcohol dehydrogenase,True
19320452,ADH,alcohol dehydrogenase,antidiuretic hormone,True
162767,ADP,automatic data-processing,adenosine diphosphate,False
7985721,ALS,anti-lymphocyte serum,amyotrophic lateral sclerosis,False
19081934,BLM,bleomycin,Bloom,True
18923075,BLM,Bloom,bleomycin,True
19222034,BLM,bleomycin,Bloom,True
15493326,BLM,Bloom,bleomycin,True
17537309,BLM,bleomycin,Bloom,True
19863834,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
17593513,BSA,body surface area,bovine serum albumin,True
20124233,CAD,coronary artery disease,Computer aided detection,False
18311010,CAD,Computer aided detection,coronary artery disease,True
16469869,CAM,cell adhesion molecules,Chorioallantoic Membrane,False
19123068,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
16187083,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
16302733,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
20066899,CAM,Chorioallantoic Membrane,cell adhesion molecules,False
17314073,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
12742882,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,False
16735466,CDR,complementarity-determining region,Deoxycytidine,True
17307011,CDR,complementarity-determining region,Deoxycytidine,True
17211986,CP,cleft palate,Corynebacterium parvum,True
15880679,CP,cleft palate,Corynebacterium parvum,True
2835568,CP,Corynebacterium parvum,cleft palate,True
9195122,CPDD,calcium pyrophosphate deposition disease,cis-platinum diammine dichloride,False
11344817,CPDD,calcium pyrophosphate deposition disease,cis-platinum diammine dichloride,True
9080765,CTX,Cerebrotendinous xanthomatosis,cytoxan,True
19447687,CTX,cytoxan,Cerebrotendinous xanthomatosis,False
10066446,CTX,Cerebrotendinous xanthomatosis,cytoxan,True
20157861,DAT,dopamine transporters,dementia of the Alzheimer's type,False
17664527,DAT,dementia of the Alzheimer's type,dopamine transporters,True
19852071,DAT,dopamine transporters,dementia of the Alzheimer's type,True
12850491,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,True
16458028,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,False
16226333,DDS,drug delivery system,diaminodiphenyl sulfone,True
18007284,DDS,drug delivery system,diaminodiphenyl sulfone,True
1828062,DDS,diaminodiphenyl sulfone,Denys-Drash syndrome,True
19952519,DDS,drug delivery system,diaminodiphenyl sulfone,True
12165212,DDS,diaminodiphenyl sulfone,drug delivery system,True
10066962,DDS,diaminodiphenyl sulfone,drug delivery system,True
17062390,DDS,drug delivery system,diaminodiphenyl sulfone,True
16282964,DDS,drug delivery system,diaminodiphenyl sulfone,True
10506613,EM,Estramustine,Electron microscopy,True
19866516,EMS,ethyl methane sulfonate,emergency medical service,False
15963565,EMS,ethyl methane sulfonate,emergency medical service,True
20232746,ERP,Event-related potentials,endoscopic retrograde pancreatography,True
12652779,ERP,endoscopic retrograde pancreatography,Event-related potentials,True
18997962,FA,Fanconi anemia,folic acid,True
19561169,FA,Fanconi anemia,folic acid,True
18651631,FA,folic acid,Fanconi anemia,True
19131774,FA,Fanconi anemia,folic acid,True
19282359,FA,folic acid,Fanconi anemia,True
17961254,FAS,fetal alcohol syndrome,fatty acid synthase,True
8982552,HPS,hantavirus pulmonary syndrome,Hermansky-Pudlak syndrome,True
18629000,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,False
17598509,HR,high-risk,heart rate,False
6124282,ITP,inosine triphosphate,idiopathic thrombocytopenic purpura,True
20043469,ITP,idiopathic thrombocytopenic purpura,inosine triphosphate,True
9094462,ITP,inosine triphosphate,idiopathic thrombocytopenic purpura,False
20353528,ITP,idiopathic thrombocytopenic purpura,inosine triphosphate,True
15543617,MAF,macrophage activating factor,musculo-aponeurotic fibrosacroma,True
7540906,MBP,mannan-binding protein,myelin basic protein,True
12471128,MBP,mannan-binding protein,myelin basic protein,False
18589813,MBP,mannan-binding protein,myelin basic protein,True
16982837,MBP,mannan-binding protein,myelin basic protein,False
7766991,MBP,mannan-binding protein,myelin basic protein,True
11196698,MBP,mannan-binding protein,myelin basic protein,False
19517016,MBP,myelin basic protein,mannan-binding protein,True
15467404,MBP,mannan-binding protein,myelin basic protein,False
9188718,MBP,mannan-binding protein,myelin basic protein,True
15060079,MBP,mannan-binding protein,myelin basic protein,True
12691753,MBP,mannan-binding protein,myelin basic protein,True
16595889,MBP,mannan-binding protein,myelin basic protein,True
