articleID,acronym,correct_expansion,wrong_expansion2,isOneMoreConfident
20148520,ADH,alcohol dehydrogenase,antidiuretic hormone,True
19128188,ADH,alcohol dehydrogenase,antidiuretic hormone,False
3939555,ADH,antidiuretic hormone,alcohol dehydrogenase,False
2944140,ADH,antidiuretic hormone,alcohol dehydrogenase,True
20026516,ADH,alcohol dehydrogenase,antidiuretic hormone,True
19109675,ADH,alcohol dehydrogenase,antidiuretic hormone,False
18853207,ADH,alcohol dehydrogenase,antidiuretic hormone,False
17022550,ADH,antidiuretic hormone,alcohol dehydrogenase,False
18828806,ADH,alcohol dehydrogenase,antidiuretic hormone,True
3922622,ADH,antidiuretic hormone,alcohol dehydrogenase,True
19578994,ADH,alcohol dehydrogenase,antidiuretic hormone,True
19218278,ADH,alcohol dehydrogenase,antidiuretic hormone,True
3920247,ADH,antidiuretic hormone,alcohol dehydrogenase,True
19110411,ADH,alcohol dehydrogenase,antidiuretic hormone,True
2986486,ADH,antidiuretic hormone,alcohol dehydrogenase,True
2841870,ADH,antidiuretic hormone,alcohol dehydrogenase,True
2458353,ADH,antidiuretic hormone,alcohol dehydrogenase,False
20116195,ADH,alcohol dehydrogenase,antidiuretic hormone,True
6799525,ADH,antidiuretic hormone,alcohol dehydrogenase,True
6391788,ADH,antidiuretic hormone,alcohol dehydrogenase,True
19811926,ADH,alcohol dehydrogenase,antidiuretic hormone,True
6360918,ADH,antidiuretic hormone,alcohol dehydrogenase,True
3020336,ADH,antidiuretic hormone,alcohol dehydrogenase,True
20090911,ADH,alcohol dehydrogenase,antidiuretic hormone,False
18845238,ADH,alcohol dehydrogenase,antidiuretic hormone,True
20394442,ADP,adenosine diphosphate,automatic data-processing,False
14074287,ADP,automatic data-processing,adenosine diphosphate,True
3447277,ADP,automatic data-processing,adenosine diphosphate,False
1177618,ADP,automatic data-processing,adenosine diphosphate,True
6913188,ADP,automatic data-processing,adenosine diphosphate,True
6040505,ADP,automatic data-processing,adenosine diphosphate,True
311081,ADP,automatic data-processing,adenosine diphosphate,True
19947384,ADP,adenosine diphosphate,automatic data-processing,True
252803,ADP,automatic data-processing,adenosine diphosphate,True
20059362,ADP,adenosine diphosphate,automatic data-processing,True
20096678,ALS,amyotrophic lateral sclerosis,anti-lymphocyte serum,True
20169590,ALS,amyotrophic lateral sclerosis,anti-lymphocyte serum,True
3503654,ALS,anti-lymphocyte serum,amyotrophic lateral sclerosis,False
20099342,ALS,amyotrophic lateral sclerosis,anti-lymphocyte serum,True
18194208,BLM,bleomycin,Bloom,False
18974632,BLM,bleomycin,Bloom,True
20100681,BLM,bleomycin,Bloom,True
19165145,BLM,Bloom,bleomycin,True
17880775,BLM,bleomycin,Bloom,True
15520224,BLM,Bloom,bleomycin,True
15498034,BLM,Bloom,bleomycin,False
19218193,BLM,bleomycin,Bloom,True
18602243,BLM,bleomycin,Bloom,True
18008008,BLM,bleomycin,Bloom,True
19549112,BLM,bleomycin,Bloom,True
19758434,BLM,bleomycin,Bloom,True
17713091,BLM,bleomycin,Bloom,True
20067618,BLM,bleomycin,Bloom,False
19429264,BLM,bleomycin,Bloom,False
20028084,BLM,Bloom,bleomycin,True
19428379,BLM,bleomycin,Bloom,True
19109203,BLM,bleomycin,Bloom,True
17321898,BLM,Bloom,bleomycin,False
17950632,BLM,bleomycin,Bloom,True
19380784,BLM,bleomycin,Bloom,True
19180474,BLM,bleomycin,Bloom,True
19540250,BLM,bleomycin,Bloom,True
18832650,BLM,bleomycin,Bloom,True
19573614,BLM,bleomycin,Bloom,True
17900800,BLM,Bloom,bleomycin,True
18234257,BLM,bleomycin,Bloom,False
17825263,BLM,bleomycin,Bloom,True
17825850,BLM,bleomycin,Bloom,True
18355908,BLM,bleomycin,Bloom,True
11876000,BLM,Bloom,bleomycin,True
18205074,BLM,bleomycin,Bloom,True
19250543,BLM,bleomycin,Bloom,True
15450411,BLM,Bloom,bleomycin,False
16501249,BLM,Bloom,bleomycin,True
18582404,BLM,bleomycin,Bloom,True
18210922,BLM,Bloom,bleomycin,False
19766550,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
20199748,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
19837517,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
18598128,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
20001175,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
20415055,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
19583715,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
19825272,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
19591899,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
19085927,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
20386259,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
19932003,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
19794362,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
19043958,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
20458679,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
20047175,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
20004912,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
20107104,BPD,borderline personality disorder,bronchopulmonary dysplasia,False
18760808,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
19574444,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
19485259,BPD,bronchopulmonary dysplasia,borderline personality disorder,True
19807718,BPD,borderline personality disorder,bronchopulmonary dysplasia,True
19837906,BSA,body surface area,bovine serum albumin,True
20152466,BSA,bovine serum albumin,body surface area,True
18952236,BSA,body surface area,bovine serum albumin,True
19244869,BSE,bovine spongiform encephalopathy,breast self examination,True
18643829,BSE,bovine spongiform encephalopathy,breast self examination,True
19242452,BSE,bovine spongiform encephalopathy,breast self examination,True
19103624,BSE,bovine spongiform encephalopathy,breast self examination,True
18347512,CAD,Computer aided detection,coronary artery disease,True
20152218,CAD,coronary artery disease,Computer aided detection,True
20386243,CAD,coronary artery disease,Computer aided detection,True
19863409,CAD,Computer aided detection,coronary artery disease,True
20202511,CAD,coronary artery disease,Computer aided detection,False
20180613,CAD,coronary artery disease,Computer aided detection,True
20410412,CAD,coronary artery disease,Computer aided detection,True
20124046,CAD,coronary artery disease,Computer aided detection,True
20204992,CAD,coronary artery disease,Computer aided detection,True
18724867,CAD,Computer aided detection,coronary artery disease,True
20538671,CAD,coronary artery disease,Computer aided detection,True
19774509,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
19482088,CAM,cell adhesion molecules,Chorioallantoic Membrane,False
18291379,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
16720322,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
17681789,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19428938,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
19842048,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
19284324,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
18678496,CAM,Chorioallantoic Membrane,cell adhesion molecules,False
17519975,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
18810647,CAM,Chorioallantoic Membrane,cell adhesion molecules,False
17709431,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19635491,CAM,Chorioallantoic Membrane,cell adhesion molecules,False
19277014,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
18790036,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
16308137,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19403415,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
18692618,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
17202440,CAM,cell adhesion molecules,Chorioallantoic Membrane,False
19715750,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
19469865,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
19834094,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
18958417,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
17205779,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
18319540,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
18095189,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19196466,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
16214039,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19135695,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19720068,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
19380349,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19401151,CAM,Chorioallantoic Membrane,cell adhesion molecules,False
20096070,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
17929513,CAM,cell adhesion molecules,Chorioallantoic Membrane,False
20049873,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
18626782,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
19197150,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
18494942,CAM,Chorioallantoic Membrane,cell adhesion molecules,True
18853253,CAM,Chorioallantoic Membrane,cell adhesion molecules,False
18790807,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19479183,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
17280489,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
16944754,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
17483743,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
19250612,CAM,cell adhesion molecules,Chorioallantoic Membrane,True
10618932,CCD,Central Core Disease,Cleidocranial dysplasia,True
