INFO: 07/24/2015 04:01:20 PM AcronymDB loaded
INFO: 07/24/2015 04:01:26 PM ArticleDB loaded
INFO: 07/24/2015 04:01:36 PM Training new LDA model
INFO: 07/24/2015 04:01:41 PM Getting word_corpus from articles
INFO: 07/24/2015 04:08:32 PM AcronymDB loaded
INFO: 07/24/2015 04:08:35 PM ArticleDB loaded
INFO: 07/24/2015 04:08:38 PM Training new LDA model
INFO: 07/24/2015 04:08:43 PM Getting word_corpus from articles
DEBUG: 07/24/2015 04:09:56 PM converted 1000 articles to words
DEBUG: 07/24/2015 04:11:05 PM converted 2000 articles to words
DEBUG: 07/24/2015 04:12:15 PM converted 3000 articles to words
DEBUG: 07/24/2015 04:13:28 PM converted 4000 articles to words
DEBUG: 07/24/2015 04:14:40 PM converted 5000 articles to words
DEBUG: 07/24/2015 04:15:49 PM converted 6000 articles to words
DEBUG: 07/24/2015 04:17:06 PM converted 7000 articles to words
DEBUG: 07/24/2015 04:18:18 PM converted 8000 articles to words
DEBUG: 07/24/2015 04:19:31 PM converted 9000 articles to words
DEBUG: 07/24/2015 04:20:43 PM converted 10000 articles to words
DEBUG: 07/24/2015 04:21:58 PM converted 11000 articles to words
DEBUG: 07/24/2015 04:23:11 PM converted 12000 articles to words
DEBUG: 07/24/2015 04:24:19 PM converted 13000 articles to words
DEBUG: 07/24/2015 04:25:35 PM converted 14000 articles to words
DEBUG: 07/24/2015 04:26:45 PM converted 15000 articles to words
DEBUG: 07/24/2015 04:27:54 PM converted 16000 articles to words
DEBUG: 07/24/2015 04:29:07 PM converted 17000 articles to words
DEBUG: 07/24/2015 04:30:19 PM converted 18000 articles to words
DEBUG: 07/24/2015 04:31:36 PM converted 19000 articles to words
DEBUG: 07/24/2015 04:32:52 PM converted 20000 articles to words
DEBUG: 07/24/2015 04:34:06 PM converted 21000 articles to words
DEBUG: 07/24/2015 04:35:19 PM converted 22000 articles to words
DEBUG: 07/24/2015 04:36:32 PM converted 23000 articles to words
DEBUG: 07/24/2015 04:37:47 PM converted 24000 articles to words
DEBUG: 07/24/2015 04:39:00 PM converted 25000 articles to words
DEBUG: 07/24/2015 04:40:15 PM converted 26000 articles to words
DEBUG: 07/24/2015 04:41:30 PM converted 27000 articles to words
DEBUG: 07/24/2015 04:42:37 PM converted 28000 articles to words
DEBUG: 07/24/2015 04:43:51 PM converted 29000 articles to words
DEBUG: 07/24/2015 04:45:05 PM converted 30000 articles to words
DEBUG: 07/24/2015 04:46:16 PM converted 31000 articles to words
DEBUG: 07/24/2015 04:47:31 PM converted 32000 articles to words
DEBUG: 07/24/2015 04:48:41 PM converted 33000 articles to words
DEBUG: 07/24/2015 04:49:50 PM converted 34000 articles to words
DEBUG: 07/24/2015 04:51:03 PM converted 35000 articles to words
DEBUG: 07/24/2015 04:52:19 PM converted 36000 articles to words
DEBUG: 07/24/2015 04:53:31 PM converted 37000 articles to words
DEBUG: 07/24/2015 04:54:44 PM converted 38000 articles to words
INFO: 07/24/2015 04:55:15 PM AcronymDB loaded
INFO: 07/24/2015 04:55:17 PM ArticleDB loaded
INFO: 07/24/2015 04:55:20 PM Training new LDA model
INFO: 07/24/2015 04:55:25 PM Getting word_corpus from articles
DEBUG: 07/24/2015 04:56:38 PM converted 1000 articles to words
DEBUG: 07/24/2015 04:57:47 PM converted 2000 articles to words
DEBUG: 07/24/2015 04:58:56 PM converted 3000 articles to words
DEBUG: 07/24/2015 05:00:09 PM converted 4000 articles to words
DEBUG: 07/24/2015 05:01:20 PM converted 5000 articles to words
DEBUG: 07/24/2015 05:02:29 PM converted 6000 articles to words
DEBUG: 07/24/2015 05:03:46 PM converted 7000 articles to words
DEBUG: 07/24/2015 05:04:58 PM converted 8000 articles to words
DEBUG: 07/24/2015 05:06:10 PM converted 9000 articles to words
DEBUG: 07/24/2015 05:07:22 PM converted 10000 articles to words
DEBUG: 07/24/2015 05:08:37 PM converted 11000 articles to words
DEBUG: 07/24/2015 05:09:49 PM converted 12000 articles to words
DEBUG: 07/24/2015 05:10:56 PM converted 13000 articles to words
DEBUG: 07/24/2015 05:12:12 PM converted 14000 articles to words
DEBUG: 07/24/2015 05:13:21 PM converted 15000 articles to words
DEBUG: 07/24/2015 05:14:30 PM converted 16000 articles to words
