INFO: 4044 08/03/2015 10:07:57 PM detected Windows; aliasing chunkize to chunkize_serial
INFO: 5464 08/03/2015 10:08:00 PM detected Windows; aliasing chunkize to chunkize_serial
INFO: 4772 08/03/2015 10:08:00 PM detected Windows; aliasing chunkize to chunkize_serial
INFO: 6540 08/03/2015 10:08:00 PM detected Windows; aliasing chunkize to chunkize_serial
INFO: 4772 08/03/2015 10:08:01 PM filtering articles with None
INFO: 4772 08/03/2015 10:08:01 PM removing test articles from articleDB
INFO: 4772 08/03/2015 10:08:02 PM correcting acronymDB
INFO: 5464 08/03/2015 10:08:02 PM filtering articles with None
INFO: 6540 08/03/2015 10:08:02 PM filtering articles with None
INFO: 5464 08/03/2015 10:08:02 PM removing test articles from articleDB
INFO: 5464 08/03/2015 10:08:02 PM correcting acronymDB
INFO: 6540 08/03/2015 10:08:02 PM removing test articles from articleDB
INFO: 6540 08/03/2015 10:08:02 PM correcting acronymDB
INFO: 4772 08/03/2015 10:08:02 PM verifying training dataset
INFO: 5464 08/03/2015 10:08:02 PM verifying training dataset
INFO: 6540 08/03/2015 10:08:03 PM verifying training dataset
INFO: 4772 08/03/2015 10:08:19 PM TFIDF vectorizer loaded
INFO: 4772 08/03/2015 10:08:19 PM Expander_SVC loaded
INFO: 4772 08/03/2015 10:08:19 PM evaluating test performance
INFO: 6540 08/03/2015 10:08:19 PM TFIDF vectorizer loaded
INFO: 6540 08/03/2015 10:08:19 PM Expander_SVC loaded
INFO: 6540 08/03/2015 10:08:19 PM evaluating test performance
INFO: 5464 08/03/2015 10:08:19 PM TFIDF vectorizer loaded
INFO: 5464 08/03/2015 10:08:19 PM Expander_SVC loaded
INFO: 5464 08/03/2015 10:08:19 PM evaluating test performance
DEBUG: 6540 08/03/2015 10:08:23 PM Expansion matching failed: anti-lymphocyte serum, antilymphocyte serum
DEBUG: 4772 08/03/2015 10:08:24 PM Expansion matching failed: bloom, bleomycin
DEBUG: 5464 08/03/2015 10:08:24 PM Expansion matching succeeded: capillary leak syndrome, capillary leakage syndrome
DEBUG: 4772 08/03/2015 10:08:26 PM Expansion matching failed: topical application, tetradecanoylphorbol-13-acetate
DEBUG: 6540 08/03/2015 10:08:30 PM Expansion matching failed: primary ciliary dyskinesia, primary ciliary diskinesia
DEBUG: 4772 08/03/2015 10:08:31 PM Expansion matching succeeded: phytohemagglutinin, phytohaemaglutinin
DEBUG: 5464 08/03/2015 10:08:35 PM Expansion matching failed: thrombopoietin, thrombocytopoiesis-stimulating factor
DEBUG: 6540 08/03/2015 10:08:36 PM Expansion matching succeeded: diamond-blackfan anemia, diamond blackfan anemia
DEBUG: 5464 08/03/2015 10:08:37 PM Expansion matching failed: thrombopoietin, thrombocytopoiesis-stimulating factor
DEBUG: 4772 08/03/2015 10:08:42 PM Expansion matching succeeded: pentachlorophenate, pentachlorophenol
DEBUG: 5464 08/03/2015 10:08:50 PM Expansion matching succeeded: premature ventricular contractions, premature ventricular contraction
DEBUG: 6540 08/03/2015 10:08:55 PM Expansion matching succeeded: myosin heavy chains, myosin heavy chain
DEBUG: 5464 08/03/2015 10:09:04 PM Expansion matching failed: topical application, tetradecanoylphorbol-13-acetate
DEBUG: 6540 08/03/2015 10:09:05 PM Expansion matching failed: procarbazine, polychlorinated biphenyls
DEBUG: 5464 08/03/2015 10:09:10 PM Expansion matching failed: trimethoprim, the trimethoprim
DEBUG: 4772 08/03/2015 10:09:10 PM Expansion matching succeeded: phytohemagglutinin, phytohaemagglutinin
DEBUG: 4772 08/03/2015 10:09:13 PM Expansion matching failed: automatic data-processing, and phospho
