acronym,acronym_expansion,article_id
MNS,mirror neuron system,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt
CARS,Childhood Autism Rating Scale,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt
ADHD,Attention deficit hyperactivity disorder,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt
ABA,applied behavior analysis,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt
ASD,autism spectrum disorders,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt
PDD,pervasive developmental disorders,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt
ADOS,Autism Diagnostic Observation Schedule,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt
BRDF,bidirectional reflectance distribution function,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxiZWRv
ATD,Alabama Tourism Department,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==
COE,Council on Occupational Education,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==
SACS,Southern Association of Colleges and Schools,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==
SECC,Southeastern Ceremonial Complex,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==
ACICS,Accrediting Council for Independent Colleges and Schools,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==
ABHE,Association for Biblical Higher Education,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==
AYP,adequate yearly progress,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==
AMPAS,Academy of Motion Picture Arts and Sciences,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWNhZGVteV9Bd2FyZA==
EAL,Echelle Atomique Libre,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvSW50ZXJuYXRpb25hbF9BdG9taWNfVGltZQ==
ASA,American Sociology Association,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWx0cnVpc20=
NBI,Nathaniel Branden Institute,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXluX1JhbmQ=
FIS,Front Islamique du Salut,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxnZXJpYQ==
AAA,American Anthropological Association,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW50aHJvcG9sb2d5
